event_stage_id,event_stage
1,Qualifier
2,Final
3,Semi Final
4,Qualifier 1
5,Eliminator
6,Qualifier 2
7,Semi-Final
8,3rd Place Play-Off
9,Quarter Final
10,Super Sixes
11,Qualifier 3
12,5th Place Play-Off
13,4th Place Play-Off
14,Play-off
15,Preliminary Final
16,Super League
17,Play-off Semi-Final
18,7th Place Play-Off
19,Knockout
20,Challenger
21,Qualifier 4
22,Semi-final
23,Quarter-Final
24,Preliminary quarter-final
25,Quarter-final
26,Preliminary Quarter Final
27,3rd Place Play-off
28,Group Stage
29,9th Place Play-Off
30,Qualifying Group
31,Super Four
32,Elimination Final
33,5th Place Play-Off Semi Final
34,Play-Off
35,ODI
36,Race to the Final
37,13th Place Play-Off
38,15th Place Play-Off
39,11th Place Play-Off
40,Qualifying Play-off Semi-Final
41,Qualifying Play-off
42,First Round
43,T20
44,Trophy Semi Final
45,Shield Semi Final
46,Trophy Final
47,Shield Final
48,Shield 3rd Place Play-Off
49,Trophy 3rd Place Play-Off
50,Super 10
