match_id,innings_number,date,season,won_by,win_margin,city,venue,event_name,event_stage,match_type,team_type,team1,team2,toss_winner,outcome_winner,player_of_match,ballsBowled_team1,runsBatter_team1,runsExtra_team1,totalRuns_team1,extras_noballs_team1,extras_wides_team1,extras_byes_team1,extras_legbyes_team1,ballsBowled_team2,runsBatter_team2,runsExtra_team2,totalRuns_team2,extras_noballs_team2,extras_wides_team2,extras_byes_team2,extras_legbyes_team2,wickets_inning1,wickets_inning2,wickets_inning3,wickets_inning4
1000851,1,2016-11-03,2016/17,runs,177,1.0,1,1,,1,1,1,24,24,24,11,384,0,0,0,0,0,0,0,0,236,6,242,0,2,4,0,10.0,,,
1000851,2,2016-11-03,2016/17,runs,177,1.0,1,1,,1,1,1,24,24,24,11,0,236,8,244,5,0,0,3,427,0,0,0,0,0,0,0,,10.0,,
1000851,3,2016-11-03,2016/17,runs,177,1.0,1,1,,1,1,1,24,24,24,11,967,0,0,0,0,0,0,0,0,499,41,540,1,17,10,13,,,8.0,
1000851,4,2016-11-03,2016/17,runs,177,1.0,1,1,,1,1,1,24,24,24,11,0,331,30,361,2,4,13,11,721,0,0,0,0,0,0,0,,,,10.0
1000853,1,2016-11-12,2016/17,innings,1,2.0,2,1,,1,1,1,24,24,24,32,0,84,1,85,0,0,0,1,197,0,0,0,0,0,0,0,10.0,,,
1000853,2,2016-11-12,2016/17,innings,1,2.0,2,1,,1,1,1,24,24,24,32,606,0,0,0,0,0,0,0,0,314,12,326,1,0,3,8,,10.0,,
1000853,3,2016-11-12,2016/17,innings,1,2.0,2,1,,1,1,1,24,24,24,32,0,159,2,161,1,0,0,1,362,0,0,0,0,0,0,0,,,10.0,
1000855,1,2016-11-24,2016/17,wickets,7,,3,1,,1,1,1,24,24,1,26,459,0,0,0,0,0,0,0,0,245,14,259,1,2,3,8,9.0,,,
1000855,2,2016-11-24,2016/17,wickets,7,,3,1,,1,1,1,24,24,1,26,0,366,17,383,3,2,3,9,732,0,0,0,0,0,0,0,,10.0,,
1000855,3,2016-11-24,2016/17,wickets,7,,3,1,,1,1,1,24,24,1,26,515,0,0,0,0,0,0,0,0,237,13,250,3,0,0,10,,,10.0,
1000855,4,2016-11-24,2016/17,wickets,7,,3,1,,1,1,1,24,24,1,26,0,122,5,127,1,0,0,4,246,0,0,0,0,0,0,0,,,,3.0
1000881,1,2016-12-15,2016/17,runs,39,3.0,4,2,,1,1,1,26,1,1,41,0,416,13,429,7,1,0,5,789,0,0,0,0,0,0,0,10.0,,,
1000881,2,2016-12-15,2016/17,runs,39,3.0,4,2,,1,1,1,26,1,1,41,331,0,0,0,0,0,0,0,0,138,4,142,0,1,0,3,,10.0,,
1000881,3,2016-12-15,2016/17,runs,39,3.0,4,2,,1,1,1,26,1,1,41,0,195,7,202,1,0,2,4,235,0,0,0,0,0,0,0,,,5.0,
1000881,4,2016-12-15,2016/17,runs,39,3.0,4,2,,1,1,1,26,1,1,41,872,0,0,0,0,0,0,0,0,443,7,450,0,2,0,5,,,,10.0
1000883,1,2016-12-26,2016/17,innings,1,,5,2,,1,1,1,26,26,1,24,761,0,0,0,0,0,0,0,0,424,19,443,1,5,4,9,9.0,,,
1000883,2,2016-12-26,2016/17,innings,1,,5,2,,1,1,1,26,26,1,24,0,597,27,624,13,1,1,12,866,0,0,0,0,0,0,0,,8.0,,
1000883,3,2016-12-26,2016/17,innings,1,,5,2,,1,1,1,26,26,1,24,322,0,0,0,0,0,0,0,0,152,11,163,2,0,4,5,,,10.0,
1000885,1,2017-01-03,2016/17,runs,220,,6,2,,1,1,1,26,1,1,5,0,526,12,538,4,2,5,1,816,0,0,0,0,0,0,0,8.0,,,
1000885,2,2017-01-03,2016/17,runs,220,,6,2,,1,1,1,26,1,1,5,663,0,0,0,0,0,0,0,0,312,3,315,0,0,3,0,,10.0,,
1000885,3,2017-01-03,2016/17,runs,220,,6,2,,1,1,1,26,1,1,5,0,233,8,241,1,1,3,3,194,0,0,0,0,0,0,0,,,2.0,
1000885,4,2017-01-03,2016/17,runs,220,,6,2,,1,1,1,26,1,1,5,483,0,0,0,0,0,0,0,0,243,1,244,1,0,0,0,,,,10.0
1000887,1,2017-01-13,2016/17,runs,92,3.0,4,3,,2,1,1,26,1,1,35,0,257,11,268,1,9,0,1,310,0,0,0,0,0,0,0,9.0,,,
1000887,2,2017-01-13,2016/17,runs,92,3.0,4,3,,2,1,1,26,1,1,35,261,0,0,0,0,0,0,0,0,162,14,176,0,5,4,5,,10.0,,
